,reported_acceptor,reported_donor,reference,DOI,Voc,Jsc,FF,PCE,acceptor_type,acceptor_class,fused_rings_in_core,donor_type,acc_SMILES_sidechains,acc_SMILES_shortened_sidechains,don_SMILES_sidechains,don_SMILES_shortened_sidechains
1283,FOEH-2F,D18,,10.1016/j.orgel.2022.106541,0.88,23.75,74.2,,sm,fused,7.0,polymer,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=CC(C(CCCCCCCC)(C6=C7C=C(O8)C(C(SC(/C=C(C(C9=C%10C=C(F)C(F)=C9)=O)/C%10=C(C#N)\C#N)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)=C6)CCCCCCCC)=C7C=C5OC4(CC(CC)CCCC)CC(CC)CCCC)=C(C#N)/C#N)C=C(F)C(F)=C2,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=CC(C(CC)(C6=C7C=C(O8)C(C(SC(/C=C(C(C9=C%10C=C(F)C(F)=C9)=O)/C%10=C(C#N)\C#N)=C%11)=C%11C8(CC)CC)=C6)CC)=C7C=C5OC4(CC)CC)=C(C#N)/C#N)C=C(F)C(F)=C2,FC1=C(CC)SC(C2=C3C(C=C(C4=C(CC(CCCC)CCCCCC)C=C(C5=CC6=C(C(SC(C7=CC(CC(CCCC)CCCCCC)=C(C(S8)=CC9=C8C(C%10=CC(F)=C(CC)S%10)=C(C=C(C%11=C(CC(CCCC)CCCCCC)C=C(C%12=CC%13=C(C(SC(C%14=CC(CC(CCCC)CCCCCC)=C(C(S%15)=CC%16=C%15C(C%17=CC(F)=C(CC)S%17)=C(C=C(C%18=C(CC(CCCC)CCCCCC)C=C(C%19=CC%20=C(C(SC(C%21=CC(CC(CCCC)CCCCCC)=CS%21)=C%22)=C%22C%23=NSN=C%23%20)S%19)S%18)S%24)C%24=C%16C%25=CC(F)=C(CC)S%25)S%14)=C%26)=C%26C%27=NSN=C%27%13)S%12)S%11)S%28)C%28=C9C%29=CC(F)=C(CC)S%29)S7)=C%30)=C%30C%31=NSN=C%316)S5)S4)S3)=C(C%32=CC(F)=C(CC)S%32)C%33=C2C=CS%33)=C1,CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1
1284,BT-rhoCN,PM6,,10.1016/j.polymer.2022.125267,1.04,1.1,29.11,,sm,unfused,2.0,polymer,O=C(N(CCCCCCCC)/C(S/1)=C(C#N)\C#N)C1=C\C2=C(CCCCCCCC)C(S3)=C(S2)C=C3C4=CC=C(C5=CC(SC(/C=C6C(N(CCCCCCCC)/C(S/6)=C(C#N)\C#N)=O)=C7CCCCCCCC)=C7S5)C8=NSN=C48,CCC1=C(/C=C2C(N(CC)/C(S/2)=C(C#N)\C#N)=O)SC3=C1SC(C4=CC=C(C5=CC(SC(/C=C6C(N(CC)/C(S/6)=C(C#N)\C#N)=O)=C7CC)=C7S5)C8=NSN=C48)=C3,FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC(F)=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC(F)=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC(F)=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC(F)=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC(F)=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30)=C1,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
1285,BT-rho,PM6,,10.1016/j.polymer.2022.125267,1.1,3.4,39.5,,sm,unfused,2.0,polymer,S=C(S/1)N(CCCCCCCC)C(C1=C\C2=C(CCCCCCCC)C(S3)=C(S2)C=C3C4=CC=C(C5=CC(SC(/C=C6C(N(CCCCCCCC)C(S/6)=S)=O)=C7CCCCCCCC)=C7S5)C8=NSN=C48)=O,CCC1=C(/C=C2C(N(CC)C(S/2)=S)=O)SC3=C1SC(C4=CC=C(C5=CC(SC(/C=C6C(N(CC)C(S/6)=S)=O)=C7CC)=C7S5)C8=NSN=C48)=C3,FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC(F)=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC(F)=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC(F)=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC(F)=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC(F)=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30)=C1,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
1286,PY-IT,PM6,,10.1021/acsami.2c07703,0.938,23.15,74.7,,polymer,,,polymer,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CCCCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CCCCCCCCCCC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C6S4)=C(C#N)/C#N,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CC)CC)CC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CC)CC)CC)=C6S4)=C(C#N)/C#N,FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC(F)=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC(F)=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC(F)=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC(F)=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC(F)=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30)=C1,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
1288,PY-IT,PM6,,10.1002/adfm.202210733,0.94,23.7,74.19,,polymer,,,polymer,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CCCCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CCCCCCCCCCC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C6S4)=C(C#N)/C#N,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CC)CC)CC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CC)CC)CC)=C6S4)=C(C#N)/C#N,ClC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC(Cl)=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC(Cl)=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC(Cl)=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC(Cl)=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC(Cl)=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30)=C1,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl
1289,PY-IT,PBQ5,,10.1016/j.scib.2022.10.005,0.907,24.6,69.72,,polymer,,,polymer,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CCCCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CCCCCCCCCCC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C6S4)=C(C#N)/C#N,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CC)CC)CC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CC)CC)CC)=C6S4)=C(C#N)/C#N,FC(C(F)=C(C1=NC(CC(CCCC)CC)=C(N=C21)CC(CC)CCCC)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC(CC)CCCC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC(CCCC)CC)=C2C9=CC=C(C%10=CC(C(C%11=CC(F)=C(S%11)CC(CC)CCCC)=C%12S%13)=C(S%10)C(C%14=CC(F)=C(S%14)CC(CCCC)CC)=C%12C=C%13C(S%15)=CC=C%15C(C%16=NC(CC(CCCC)CC)=C(N=C%17%16)CC(CC)CCCC)=C(F)C(F)=C%17C%18=CC=C(C%19=CC(C(C%20=CC(F)=C(S%20)CC(CC)CCCC)=C%21S%22)=C(S%19)C(C%23=CC(F)=C(S%23)CC(CCCC)CC)=C%21C=C%22C(S%24)=CC=C%24C(C%25=NC(CC(CCCC)CC)=C(N=C%26%25)CC(CC)CCCC)=C(F)C(F)=C%26C%27=CC=CS%27)S%18)S9,FC(C(F)=C(C1=NC(CC)=C(N=C21)CC)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC)=C2C9=CC=C(C%10=CC(C(C%11=CC(F)=C(S%11)CC)=C%12S%13)=C(S%10)C(C%14=CC(F)=C(S%14)CC)=C%12C=C%13C(S%15)=CC=C%15C(C%16=NC(CC)=C(N=C%17%16)CC)=C(F)C(F)=C%17C%18=CC=C(C%19=CC(C(C%20=CC(F)=C(S%20)CC)=C%21S%22)=C(S%19)C(C%23=CC(F)=C(S%23)CC)=C%21C=C%22C(S%24)=CC=C%24C(C%25=NC(CC)=C(N=C%26%25)CC)=C(F)C(F)=C%26C%27=CC=CS%27)S%18)S9
1290,PY-IT,PBQ8,,10.1016/j.scib.2022.10.005,0.91,25.14,74.5,,polymer,,,polymer,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CCCCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CCCCCCCCCCC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C6S4)=C(C#N)/C#N,O=C1C2=CC=C(C3=CC=CS3)C=C2C(/C1=C/C4=C(CC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=CC(C(S%14)=CC=C%14C(C=C%15C(/C%16=C/C%17=C(CC)C(SC%18=C%19N(C%20=C%18C%21=NSN=C%21C%22=C%20N(C%23=C%22SC%24=C%23SC(/C=C%25/C(C%26=C(C%25=O)C=CC=C%26)=C(C#N)/C#N)=C%24CC)CC)CC)=C%19S%17)=C(C#N)/C#N)=CC=C%15C%16=O)=C%13)=C(C#N)/C#N)=C%11CC)CC)CC)=C6S4)=C(C#N)/C#N,FC(C(F)=C(C1=NC(CCCCCCCC)=C(N=C21)CCCCCCCC)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC(CC)CCCC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC(CCCC)CC)=C2C9=CC=C(C%10=CC(C(C%11=CC(F)=C(S%11)CC(CC)CCCC)=C%12S%13)=C(S%10)C(C%14=CC(F)=C(S%14)CC(CCCC)CC)=C%12C=C%13C(S%15)=CC=C%15C(C%16=NC(CCCCCCCC)=C(N=C%17%16)CCCCCCCC)=C(F)C(F)=C%17C%18=CC=C(C%19=CC(C(C%20=CC(F)=C(S%20)CC(CC)CCCC)=C%21S%22)=C(S%19)C(C%23=CC(F)=C(S%23)CC(CCCC)CC)=C%21C=C%22C(S%24)=CC=C%24C(C%25=NC(CCCCCCCC)=C(N=C%26%25)CCCCCCCC)=C(F)C(F)=C%26C%27=CC=CS%27)S%18)S9,FC(C(F)=C(C1=NC(CC)=C(N=C21)CC)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(F)=C(S7)CC)=C5S4)C=CS6)C8=CC(F)=C(S8)CC)=C2C9=CC=C(C%10=CC(C(C%11=CC(F)=C(S%11)CC)=C%12S%13)=C(S%10)C(C%14=CC(F)=C(S%14)CC)=C%12C=C%13C(S%15)=CC=C%15C(C%16=NC(CC)=C(N=C%17%16)CC)=C(F)C(F)=C%17C%18=CC=C(C%19=CC(C(C%20=CC(F)=C(S%20)CC)=C%21S%22)=C(S%19)C(C%23=CC(F)=C(S%23)CC)=C%21C=C%22C(S%24)=CC=C%24C(C%25=NC(CC)=C(N=C%26%25)CC)=C(F)C(F)=C%26C%27=CC=CS%27)S%18)S9
1291,SSBR,P3HT,,10.1016/j.solener.2018.09.077,0.74,1.09,29.38,,sm,unfused,3.0,polymer,S=C(S/1)N(CC)C(C1=C\C2=CC=C(C3=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C6=CC=C(/C=C7C(N(CC)C(S/7)=S)=O)C8=NSN=C68)=C4)=C5S3)C9=NSN=C92)=O,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc3C4(CC)CC)c3nsnc23)SC1=S,CCCCCCC1=CSC(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(C6=C(CCCCCC)C=CS6)S5)S4)S3)S2)=C1,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC
1292,SSBR,PBDB-T,,10.1016/j.solener.2018.09.077,0.88,9.12,40.45,,sm,unfused,3.0,polymer,S=C(S/1)N(CC)C(C1=C\C2=CC=C(C3=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C6=CC=C(/C=C7C(N(CC)C(S/7)=S)=O)C8=NSN=C68)=C4)=C5S3)C9=NSN=C92)=O,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc3C4(CC)CC)c3nsnc23)SC1=S,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
1293,SSBR,PTB7-Th,,10.1016/j.solener.2018.09.077,0.92,15.91,55.8,,sm,unfused,3.0,polymer,S=C(S/1)N(CC)C(C1=C\C2=CC=C(C3=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C6=CC=C(/C=C7C(N(CC)C(S/7)=S)=O)C8=NSN=C68)=C4)=C5S3)C9=NSN=C92)=O,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc3C4(CC)CC)c3nsnc23)SC1=S,FC1=C(C(OCC(CCCC)CC)=O)SC2=C(SC=C21)C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C(C(F)=C(C(OCC(CCCC)CC)=O)S7)C7=C(S6)C(S8)=CC9=C8C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C%11=C(C(F)=C(C(OCC(CCCC)CC)=O)S%12)C%12=C(S%11)C(S%13)=CC%14=C%13C(C%15=CC=C(CC(CC)CCCC)S%15)=C(C=CS%16)C%16=C%14C%17=CC=C(CC(CC)CCCC)S%17)S%18)C%18=C9C%19=CC=C(CC(CCCC)CC)S%19)S%20)C%20=C4C%21=CC=C(CC(CC)CCCC)S%21,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
